id,name,sku,price,cost,category_id,category_name,supplier_id
249,RedNova 15 Pro,PHN-39005,606.49,452.95,2,Smartphones,23
250,ProAcc USB-C Hub 7-in-1,ACC-32931,107.99,70.02,8,Accessories,8
251,"UltraDisplay 32"" QHD",MON-83933,374.99,253.8,3,Monitors,40
252,RadeonPro RTX 4090,GPU-52904,1887.49,1204.16,4,Graphics Cards,11
253,ThreadRip Ryzen 7 7800X3D,CPU-22842,449.99,272.08,5,Processors,26
254,RyzenForce i9-14900K,CPU-10205,508.99,334.04,5,Processors,39
255,GearMax USB-C Hub 7-in-1,ACC-39502,111.95,76.82,8,Accessories,17
256,FuryMax 16GB DDR4 3600,RAM-40268,42.99,30.62,7,RAM,24
257,SpeedDrive 1TB SATA,SSD-11775,276.95,181.66,6,SSDs,40
258,MemoryPro 32GB DDR5 6000,RAM-89178,293.99,223.13,7,RAM,22
259,QuickStore 2TB NVMe,SSD-39084,139.49,97.65,6,SSDs,3
260,PowerEdge Studio 16,LAP-70076,1798.99,1400.74,1,Laptops,9
261,"GameView 34"" Ultrawide",MON-61771,492.0,367.95,3,Monitors,20
262,TurboSSD 4TB NVMe,SSD-15921,289.49,191.05,6,SSDs,2
263,GeForceMax RX 7800 XT,GPU-24998,1292.95,963.33,4,Graphics Cards,45
264,TurboSSD 1TB SATA,SSD-56984,169.49,134.64,6,SSDs,38
265,SpeedDrive 4TB NVMe,SSD-78961,266.49,198.33,6,SSDs,50
266,ProAcc Wireless Mouse,ACC-18367,15.0,9.33,8,Accessories,2
267,EpicCore i9-14900K,CPU-36576,389.99,273.13,5,Processors,40
268,TechGear Wireless Mouse,ACC-61565,108.49,86.75,8,Accessories,31
269,XeonPro i9-14900K,CPU-45271,421.49,298.94,5,Processors,44
270,VengeanceX 32GB DDR4 3200,RAM-11161,160.0,104.93,7,RAM,20
271,PixelForce 8 Ultra,PHN-52809,1116.49,779.09,2,Smartphones,31
272,ArcForce RTX 4090,GPU-88516,507.49,343.03,4,Graphics Cards,26
273,ProAcc USB-C Hub 7-in-1,ACC-56049,17.0,10.47,8,Accessories,29
274,NVMePro 2TB NVMe,SSD-45198,140.49,110.51,6,SSDs,45
275,"ViewMax 27"" 144Hz",MON-32731,1533.99,935.97,3,Monitors,34
276,iNova S24,PHN-58514,330.99,229.87,2,Smartphones,44
277,MemoryPro 32GB DDR4 3200,RAM-93689,294.99,215.51,7,RAM,31
278,RyzenForce i5-14600K,CPU-98094,324.49,253.62,5,Processors,6
279,FlashMax 4TB NVMe,SSD-02445,382.95,232.63,6,SSDs,12
280,RadeonPro RTX 4070,GPU-50229,1995.99,1395.35,4,Graphics Cards,48
281,EssentialX Mechanical Keyboard RGB,ACC-61201,11.49,7.14,8,Accessories,22
282,"GameView 27"" 144Hz",MON-83667,1089.0,838.76,3,Monitors,30
283,"ViewMax 34"" Ultrawide",MON-52545,492.99,321.16,3,Monitors,12
284,PowerEdge Gaming X,LAP-99102,1919.95,1219.36,1,Laptops,41
285,GearMax Headset 7.1,ACC-29014,72.99,45.19,8,Accessories,9
286,RyzenForce i7-14700K,CPU-76797,282.99,212.46,5,Processors,22
287,"GameView 27"" 4K",MON-64381,670.99,434.31,3,Monitors,43
288,PowerEdge Ultra 14,LAP-56149,1513.49,1179.04,1,Laptops,46
289,MemoryPro 16GB DDR4 3600,RAM-78403,129.99,102.88,7,RAM,31
290,RedNova 8 Ultra,PHN-69003,740.49,514.02,2,Smartphones,35
291,ProAcc Wireless Mouse,ACC-43244,139.49,105.66,8,Accessories,34
292,XeonPro i7-14700K,CPU-51076,742.99,568.95,5,Processors,33
293,RedNova 15 Pro,PHN-22683,413.95,284.95,2,Smartphones,44
294,RedNova 12 Plus,PHN-88516,318.49,242.61,2,Smartphones,30
295,OnePower 12 Plus,PHN-06071,933.49,685.7,2,Smartphones,20
296,FuryMax 16GB DDR4 3600,RAM-59696,250.49,179.27,7,RAM,3
297,GeForceMax RX 7900 XTX,GPU-64160,1990.0,1221.47,4,Graphics Cards,31
298,SlimForce Ultra 14,LAP-52975,2422.95,1927.86,1,Laptops,42
299,EssentialX Webcam 4K,ACC-16136,95.0,64.17,8,Accessories,6
300,TidalForce 32GB DDR5 6000,RAM-96816,206.99,131.58,7,RAM,35
301,RadeonPro RTX 4080,GPU-45352,1719.95,1368.56,4,Graphics Cards,30
302,TidalForce 64GB DDR5 5600,RAM-18188,173.95,112.98,7,RAM,23
303,iNova S24,PHN-35523,241.49,174.59,2,Smartphones,2
304,"ViewMax 27"" 4K",MON-12432,1269.99,932.69,3,Monitors,4
305,"ViewMax 24"" Full HD",MON-92127,990.49,743.74,3,Monitors,50
306,NovaPad Gaming X,LAP-79979,1085.0,776.02,1,Laptops,37
307,QuickStore 2TB NVMe,SSD-95527,185.99,136.15,6,SSDs,15
308,ArcForce RTX 4070,GPU-17744,1246.49,931.18,4,Graphics Cards,12
309,NVMePro 4TB NVMe,SSD-90581,273.0,215.21,6,SSDs,43
310,QuadroView RTX 4090,GPU-47700,1483.99,979.4,4,Graphics Cards,12
311,FuryMax 32GB DDR5 6000,RAM-54119,259.99,192.79,7,RAM,30
312,ConnectPro Webcam 4K,ACC-98679,193.49,121.28,8,Accessories,16
313,"ProScreen 27"" 4K",MON-80793,1860.95,1150.98,3,Monitors,47
314,TechGear USB-C Hub 7-in-1,ACC-59782,81.49,49.54,8,Accessories,5
315,RedNova Note X,PHN-07151,482.99,377.41,2,Smartphones,20
316,TechGear Wireless Mouse,ACC-82037,188.0,117.21,8,Accessories,49
317,RyzenForce Ryzen 9 7950X,CPU-78892,592.99,384.18,5,Processors,21
318,FuryMax 64GB DDR5 5600,RAM-55466,174.99,114.15,7,RAM,33
319,GearMax Mechanical Keyboard RGB,ACC-59051,162.49,122.25,8,Accessories,21
320,EssentialX USB-C Hub 7-in-1,ACC-51864,88.49,57.01,8,Accessories,10
321,NovaPad EliteBook,LAP-49251,1947.99,1228.17,1,Laptops,22
322,RedNova 15 Pro,PHN-92546,849.49,626.05,2,Smartphones,17
323,FuryMax 64GB DDR5 5600,RAM-29148,154.49,103.58,7,RAM,9
324,FuryMax 32GB DDR5 6000,RAM-65281,277.49,202.11,7,RAM,4
325,CoreMax i7-14700K,CPU-68505,635.99,488.76,5,Processors,15
326,UltraBook Pro 15,LAP-42357,1046.99,640.85,1,Laptops,41
327,TidalForce 64GB DDR5 5600,RAM-33221,208.99,147.64,7,RAM,27
328,NovaPad Gaming X,LAP-41888,1839.99,1288.81,1,Laptops,45
329,SpeedRAM 16GB DDR5 5600,RAM-05929,277.49,179.87,7,RAM,40
330,XeonPro i5-14600K,CPU-62229,656.99,520.24,5,Processors,30
331,FlashMax 500GB SATA,SSD-27065,357.95,261.57,6,SSDs,42
332,MemoryPro 64GB DDR5 5600,RAM-37947,132.49,80.98,7,RAM,1
333,MemoryPro 64GB DDR5 5600,RAM-38347,258.49,172.22,7,RAM,7
334,TechGear Wireless Mouse,ACC-35977,50.95,39.61,8,Accessories,31
335,"ViewMax 34"" Ultrawide",MON-46886,1818.49,1103.06,3,Monitors,21
336,UltraBook EliteBook,LAP-23924,860.95,657.92,1,Laptops,5
337,"GameView 32"" QHD",MON-07581,1220.95,897.9,3,Monitors,35
338,"UltraDisplay 27"" 4K",MON-81412,1101.0,672.42,3,Monitors,28
339,GalaxyMax 8 Ultra,PHN-47826,986.49,709.41,2,Smartphones,50
340,"ProScreen 24"" Full HD",MON-13750,1083.99,854.43,3,Monitors,28
341,RedNova 12 Plus,PHN-60685,311.49,236.61,2,Smartphones,46
342,PowerEdge Ultra 14,LAP-36153,1449.95,914.71,1,Laptops,25
343,"ViewMax 27"" 4K",MON-05152,209.99,141.11,3,Monitors,18
344,TechPro Ultra 14,LAP-20472,1577.49,1108.17,1,Laptops,7
345,PowerEdge EliteBook,LAP-77901,732.49,487.02,1,Laptops,25
346,SlimForce Studio 16,LAP-04328,2447.49,1742.39,1,Laptops,16
347,FlashMax 1TB SATA,SSD-98614,126.99,83.01,6,SSDs,10
348,SlimForce Gaming X,LAP-34103,1552.99,955.69,1,Laptops,17
349,GearMax Headset 7.1,ACC-69711,127.99,80.26,8,Accessories,1
350,EssentialX Headset 7.1,ACC-79808,82.95,57.07,8,Accessories,28
351,ConnectPro Wireless Mouse,ACC-93246,67.49,49.88,8,Accessories,31
352,"ColorEdge 34"" Ultrawide",MON-09539,724.49,505.84,3,Monitors,37
353,EssentialX Webcam 4K,ACC-62185,63.95,43.04,8,Accessories,37
354,RedNova 15 Pro,PHN-18888,1086.49,858.98,2,Smartphones,30
355,ProAcc Webcam 4K,ACC-80670,161.95,99.41,8,Accessories,27
356,SpeedRAM 16GB DDR4 3600,RAM-65405,95.49,70.95,7,RAM,25
357,NovaPad Studio 16,LAP-15319,1955.49,1534.47,1,Laptops,45
358,GeForceMax RTX 4090,GPU-52058,1492.95,1073.08,4,Graphics Cards,6
359,UltraBook Gaming X,LAP-52772,915.49,652.42,1,Laptops,42
360,FuryMax 16GB DDR4 3600,RAM-21704,290.99,175.21,7,RAM,17
361,RedNova Note X,PHN-30305,954.49,657.79,2,Smartphones,26
362,ThreadRip Ryzen 9 7950X,CPU-48687,205.0,142.79,5,Processors,19
363,GeForceMax RTX 4070,GPU-40345,1713.49,1147.47,4,Graphics Cards,22
364,RyzenForce Ryzen 9 7950X,CPU-05415,438.99,301.86,5,Processors,45
365,CoreMax i5-14600K,CPU-66765,131.49,79.49,5,Processors,22
366,FlashMax 2TB NVMe,SSD-27758,282.49,188.19,6,SSDs,28
367,ProAcc Webcam 4K,ACC-41616,129.99,95.08,8,Accessories,26
368,NovaPad Ultra 14,LAP-92845,1623.99,975.84,1,Laptops,14
369,GalaxyMax Note X,PHN-11544,332.95,212.22,2,Smartphones,21
370,GalaxyMax 8 Ultra,PHN-79627,1071.99,850.28,2,Smartphones,21
371,TurboSSD 1TB SATA,SSD-57059,314.99,242.26,6,SSDs,40
372,PixelForce Note X,PHN-64016,967.49,641.09,2,Smartphones,16
373,"UltraDisplay 34"" Ultrawide",MON-58202,1448.49,990.26,3,Monitors,9
374,NVMePro 2TB NVMe,SSD-97021,269.49,211.23,6,SSDs,12
375,NVMePro 500GB SATA,SSD-35569,113.99,78.68,6,SSDs,4
376,TechGear Webcam 4K,ACC-09275,35.95,28.5,8,Accessories,33
377,NVMePro 1TB SATA,SSD-57192,237.95,166.03,6,SSDs,6
378,FlashMax 500GB SATA,SSD-85654,64.99,42.75,6,SSDs,50
379,EpicCore Ryzen 9 7950X,CPU-31027,457.49,299.01,5,Processors,35
380,EssentialX Headset 7.1,ACC-86814,166.99,124.21,8,Accessories,35
381,OnePower S24,PHN-47394,1156.49,751.15,2,Smartphones,3
382,XeonPro i7-14700K,CPU-73121,407.0,307.34,5,Processors,16
383,RedNova 8 Ultra,PHN-72715,1319.49,904.69,2,Smartphones,40
384,iNova 15 Pro,PHN-51884,1247.49,881.3,2,Smartphones,39
385,XeonPro i5-14600K,CPU-42258,302.99,233.79,5,Processors,44
386,ProAcc Webcam 4K,ACC-31323,184.0,142.31,8,Accessories,9
387,SpeedRAM 32GB DDR5 6000,RAM-70589,69.99,45.46,7,RAM,44
388,RadeonPro RX 7900 XTX,GPU-57829,1375.49,928.5,4,Graphics Cards,5
389,SpeedDrive 1TB SATA,SSD-11467,282.99,222.79,6,SSDs,24
390,EpicCore i5-14600K,CPU-86691,507.95,390.83,5,Processors,6
391,FuryMax 16GB DDR4 3600,RAM-25177,259.95,176.65,7,RAM,28
392,GearMax USB-C Hub 7-in-1,ACC-85289,71.99,51.07,8,Accessories,9
393,NVMePro 500GB SATA,SSD-22680,452.95,275.93,6,SSDs,41
394,GearMax Mechanical Keyboard RGB,ACC-18242,33.95,23.37,8,Accessories,1
395,GearMax Wireless Mouse,ACC-25358,199.0,154.51,8,Accessories,20
396,PixelForce S24,PHN-41438,1050.99,708.75,2,Smartphones,42
397,OnePower 8 Ultra,PHN-42498,1143.95,784.57,2,Smartphones,6
398,MemoryPro 32GB DDR5 6000,RAM-18299,158.99,102.59,7,RAM,44
399,CoreMax i5-14600K,CPU-22995,671.0,459.27,5,Processors,9
400,RyzenForce Ryzen 7 7800X3D,CPU-90010,162.95,101.13,5,Processors,24
401,ProAcc Webcam 4K,ACC-94396,156.95,98.35,8,Accessories,44
402,RedNova Note X,PHN-90784,211.49,145.51,2,Smartphones,47
403,iNova 12 Plus,PHN-47364,1000.99,644.09,2,Smartphones,7
404,GalaxyMax Note X,PHN-71027,1149.99,788.75,2,Smartphones,9
405,"ViewMax 32"" QHD",MON-67735,1196.49,863.29,3,Monitors,50
406,TechGear USB-C Hub 7-in-1,ACC-92555,49.49,31.56,8,Accessories,26
407,"ViewMax 32"" QHD",MON-62588,1090.99,763.6,3,Monitors,39
408,TechPro Gaming X,LAP-15371,2834.99,2189.07,1,Laptops,37
409,QuadroView RTX 4080,GPU-47321,1596.0,1203.5,4,Graphics Cards,2
410,SpeedDrive 500GB SATA,SSD-04696,147.0,116.09,6,SSDs,26
411,ThreadRip Ryzen 7 7800X3D,CPU-32595,396.99,289.05,5,Processors,35
412,QuickStore 1TB NVMe,SSD-32787,189.49,121.39,6,SSDs,10
413,EpicCore Ryzen 9 7950X,CPU-74701,544.95,401.2,5,Processors,5
414,"ColorEdge 32"" QHD",MON-68733,304.99,209.5,3,Monitors,30
415,SpeedDrive 500GB SATA,SSD-95004,349.49,221.97,6,SSDs,1
416,MemoryPro 32GB DDR5 6000,RAM-79748,164.99,116.06,7,RAM,47
417,"ProScreen 32"" QHD",MON-01624,1549.95,1157.17,3,Monitors,8
418,MemoryPro 16GB DDR4 3600,RAM-56506,247.99,151.96,7,RAM,46
419,TechGear Webcam 4K,ACC-09835,96.99,67.89,8,Accessories,37
420,iNova 8 Ultra,PHN-84168,1205.95,886.16,2,Smartphones,8
421,RedNova S24,PHN-78499,257.95,167.39,2,Smartphones,31
422,RadeonPro RTX 4080,GPU-12165,1882.95,1337.97,4,Graphics Cards,46
423,FuryMax 32GB DDR5 6000,RAM-58523,116.99,87.05,7,RAM,18
424,ConnectPro USB-C Hub 7-in-1,ACC-98680,32.49,19.84,8,Accessories,15
425,TechGear Webcam 4K,ACC-00257,23.99,15.75,8,Accessories,20
426,"GameView 24"" Full HD",MON-87298,214.99,153.24,3,Monitors,20
427,SpeedRAM 64GB DDR5 5600,RAM-25952,129.0,103.14,7,RAM,50
428,RedNova 15 Pro,PHN-69495,395.0,238.89,2,Smartphones,35
429,GeForceMax RTX 4090,GPU-88879,302.49,232.86,4,Graphics Cards,47
430,"UltraDisplay 27"" 144Hz",MON-47055,1969.99,1560.7,3,Monitors,10
431,MemoryPro 16GB DDR5 5600,RAM-16940,278.95,196.37,7,RAM,45
432,GearMax Mechanical Keyboard RGB,ACC-97499,120.49,87.65,8,Accessories,26
433,NovaPad Pro 15,LAP-30972,1587.0,1027.35,1,Laptops,17
434,GearMax USB-C Hub 7-in-1,ACC-89623,70.99,43.65,8,Accessories,13
435,RedNova S24,PHN-09130,402.99,279.36,2,Smartphones,27
436,PixelForce 15 Pro,PHN-75626,787.99,607.14,2,Smartphones,6
437,PixelForce Note X,PHN-36897,252.95,168.35,2,Smartphones,6
438,VengeanceX 64GB DDR5 5600,RAM-02838,168.49,109.86,7,RAM,12
439,SlimForce Studio 16,LAP-57865,1889.49,1169.49,1,Laptops,7
440,ProAcc Mechanical Keyboard RGB,ACC-27858,12.95,10.31,8,Accessories,9
441,OnePower 8 Ultra,PHN-54973,1092.0,673.55,2,Smartphones,38
442,"ViewMax 27"" 4K",MON-34843,1994.99,1454.74,3,Monitors,9
443,PowerEdge Pro 15,LAP-44375,606.99,384.59,1,Laptops,37
444,TitanX RX 7800 XT,GPU-75844,350.49,222.41,4,Graphics Cards,14
445,EssentialX USB-C Hub 7-in-1,ACC-19866,94.99,68.66,8,Accessories,40
446,"ProScreen 24"" Full HD",MON-52404,941.49,576.38,3,Monitors,18
447,TitanX RTX 4080,GPU-15747,1392.95,905.18,4,Graphics Cards,35
448,GearMax USB-C Hub 7-in-1,ACC-33848,101.95,68.18,8,Accessories,37
449,EpicCore i5-14600K,CPU-42199,225.99,145.49,5,Processors,50
450,"ColorEdge 27"" 144Hz",MON-33083,843.49,545.36,3,Monitors,11
451,UltraBook Gaming X,LAP-30165,1834.95,1371.46,1,Laptops,49
452,ProAcc Headset 7.1,ACC-71208,170.95,114.7,8,Accessories,12
453,RedNova 8 Ultra,PHN-26773,1248.49,977.31,2,Smartphones,2
454,VengeanceX 32GB DDR4 3200,RAM-45401,182.49,116.36,7,RAM,32
455,FlashMax 1TB SATA,SSD-93802,67.99,48.98,6,SSDs,2
456,CoreMax i5-14600K,CPU-62067,742.99,465.18,5,Processors,46
457,PixelForce S24,PHN-24004,228.49,179.01,2,Smartphones,50
458,NovaPad Gaming X,LAP-99154,2901.99,2287.88,1,Laptops,26
459,QuickStore 500GB SATA,SSD-78872,195.0,145.56,6,SSDs,28
460,GearMax USB-C Hub 7-in-1,ACC-87431,43.0,31.76,8,Accessories,40
461,ProAcc Headset 7.1,ACC-52742,164.99,123.21,8,Accessories,19
462,GalaxyMax Note X,PHN-05493,709.0,562.26,2,Smartphones,3
463,PixelForce Note X,PHN-29668,487.49,383.82,2,Smartphones,10
464,"ViewMax 32"" QHD",MON-51612,824.99,599.96,3,Monitors,6
465,EssentialX Webcam 4K,ACC-27530,12.99,9.59,8,Accessories,23
466,"ViewMax 27"" 4K",MON-46374,286.99,196.28,3,Monitors,11
467,GearMax Webcam 4K,ACC-54990,76.99,58.96,8,Accessories,37
468,FlashMax 2TB NVMe,SSD-45301,253.95,154.07,6,SSDs,2
469,"ViewMax 27"" 4K",MON-74268,815.95,515.83,3,Monitors,5
470,SpeedDrive 500GB SATA,SSD-41459,317.49,221.15,6,SSDs,2
471,RadeonPro RX 7900 XTX,GPU-33272,1812.99,1124.51,4,Graphics Cards,14
472,GearMax Headset 7.1,ACC-79568,147.49,96.32,8,Accessories,19
473,"ViewMax 27"" 4K",MON-78339,907.49,633.6,3,Monitors,4
474,TitanX RTX 4070,GPU-18785,800.49,576.39,4,Graphics Cards,13
475,UltraBook Ultra 14,LAP-19108,2095.0,1455.43,1,Laptops,8
476,"ColorEdge 24"" Full HD",MON-83982,1080.49,667.99,3,Monitors,35
477,ArcForce RX 7800 XT,GPU-25871,927.99,605.66,4,Graphics Cards,30
478,"ProScreen 27"" 144Hz",MON-39718,310.95,228.08,3,Monitors,6
479,TidalForce 64GB DDR5 5600,RAM-70728,292.49,207.88,7,RAM,25
480,GearMax Headset 7.1,ACC-67908,140.0,100.04,8,Accessories,16
481,CoreMax Ryzen 7 7800X3D,CPU-74064,731.49,512.35,5,Processors,34
482,ConnectPro Wireless Mouse,ACC-03910,32.95,20.91,8,Accessories,11
483,ProAcc Wireless Mouse,ACC-65180,18.99,13.99,8,Accessories,13
484,ProAcc Headset 7.1,ACC-17046,58.0,45.4,8,Accessories,5
485,NovaPad Studio 16,LAP-22656,1880.95,1324.07,1,Laptops,1
486,ConnectPro Headset 7.1,ACC-76618,109.99,75.11,8,Accessories,10
487,TurboSSD 1TB NVMe,SSD-25128,466.49,289.32,6,SSDs,19
488,EssentialX Webcam 4K,ACC-68230,60.49,43.21,8,Accessories,31
489,PowerEdge Studio 16,LAP-04786,859.49,634.93,1,Laptops,3
490,ArcForce RTX 4080,GPU-86337,383.99,251.02,4,Graphics Cards,24
491,PowerEdge Gaming X,LAP-52431,1200.99,887.82,1,Laptops,7
492,ProAcc Wireless Mouse,ACC-06903,67.49,50.94,8,Accessories,21
493,"ColorEdge 27"" 144Hz",MON-31190,1361.99,874.78,3,Monitors,27
494,TidalForce 16GB DDR4 3600,RAM-79030,251.49,158.89,7,RAM,20
495,FuryMax 32GB DDR5 6000,RAM-67383,240.49,171.65,7,RAM,12
496,iNova S24,PHN-02843,524.99,411.39,2,Smartphones,46
497,PixelForce 12 Plus,PHN-95995,856.49,535.11,2,Smartphones,2
498,"ColorEdge 27"" 144Hz",MON-34283,1002.0,696.31,3,Monitors,36
499,RadeonPro RTX 4090,GPU-64408,1573.49,1033.8,4,Graphics Cards,25
500,NovaPad Ultra 14,LAP-92687,2642.49,1943.65,1,Laptops,18
